1792 Small Batch Kentucky Straigth Bourbon Whiskey,53.5,Whiskey américain,"Pays

                                                            États-Unis                                                    


Région

                                                            Kentucky                                                    


Degré d'alcool

                                                            46,85 %                                                    


Couleur

                                                            Ambré(e)                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Sazerac Company Inc.                                                    


Agent promotionnel

                                                            Charton Hobbs Inc                                                    


Code SAQ

                                                            11857026                                                    


Code CUP

                                                            00080660001203"
19 Crimes Shiraz/Grenache/Mataro,18.95,Vin rouge,"Pays

                                                            Australie                                                    


Région

                                                            South Eastern Australia                                                    


Désignation réglementée

                                                            Vin de table (VDT)                                                    


Cépages

                                                            Grenache 60 %, Shiraz 25 %, Mourvèdre 15 %                                                    


Degré d'alcool

                                                            14,5 %                                                    


Taux de sucre

                                                            2,2 g/L                                                    


Couleur

                                                            Rouge                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            19 Crimes                                                    


Agent promotionnel

                                                            Mark Anthony Brands Ltd                                                    


Code SAQ

                                                            12073995                                                    


Code CUP

                                                            00012354000995"
3 Lacs Citron Tournesol,44.75,Dry gin,"Pays

                                                            Canada                                                    


Région

                                                            Québec                                                    


Degré d'alcool

                                                            43 %                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Distillerie 3 Lacs                                                    


Agent promotionnel

                                                            Distillerie des Trois-Lacs (R)                                                    


Code SAQ

                                                            14185211                                                    


Code CUP

                                                            00851006001009"
Aberfeldy 12 Single Malt Scotch Whisky,54.75,Scotch single malt,"Pays

                                                            Royaume Uni                                                    


Région

                                                            Écosse, Highlands                                                    


Classification

                                                            Mention d'âge                                                    


Degré d'alcool

                                                            40 %                                                    


Couleur

                                                            Ambré(e)                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Aberfeldy 21                                                    


Agent promotionnel

                                                            Bacardi Canada Inc.                                                    


Code SAQ

                                                            12206461                                                    


Code CUP

                                                            05000277003457"
Abreu Cappella Rutherford,967.75,Vin rouge,"Pays

                                                            États-Unis                                                    


Région

                                                            Californie, North Coast                                                    


Appellation d'origine

                                                            Rutherford                                                    


Désignation réglementée

                                                            American Viticultural Areas (AVA)                                                    


Cépages

                                                            Cabernet-sauvignon 50 %, Cabernet franc 40 %, Merlot 5 %, Petit verdot 5 %                                                    


Degré d'alcool

                                                            14 %                                                    


Couleur

                                                            Rouge                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            David Abreu                                                    


Agent promotionnel

                                                            Le Maitre de Chai (GB)                                                    


Code SAQ

                                                            13319141                                                    


Code CUP

                                                            04000133191411"
Abreu Las Posadas North Coast,967.75,Vin rouge,"Pays

                                                            États-Unis                                                    


Région

                                                            Californie, North Coast                                                    


Appellation d'origine

                                                            HOWM                                                    


Désignation réglementée

                                                            American Viticultural Areas (AVA)                                                    


Cépages

                                                            Cabernet-sauvignon 50 %, Cabernet franc 40 %, Merlot 5 %, Petit verdot 5 %                                                    


Degré d'alcool

                                                            14 %                                                    


Couleur

                                                            Rouge                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            David Abreu                                                    


Agent promotionnel

                                                            Le Maitre de Chai (GB)                                                    


Code SAQ

                                                            13319096                                                    


Code CUP

                                                            04000133190964"
Absintherie des Cantons Wendigo,36,Dry gin,"Pays

                                                            Canada                                                    


Région

                                                            Québec                                                    


Classification

                                                            London dry gin                                                    


Degré d'alcool

                                                            42,9 %                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Absintherie des Cantons                                                    


Agent promotionnel

                                                            Corporation Bella Vita                                                    


Code SAQ

                                                            13305831                                                    


Code CUP

                                                            03451740420004"
Absolut,25.7,Vodka,"Pays

                                                            Suède                                                    


Degré d'alcool

                                                            40 %                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            The Absolut Company                                                    


Agent promotionnel

                                                            Corby Spiritueux et Vins Limitée                                                    


Code SAQ

                                                            110056                                                    


Code CUP

                                                            00835229000308"
Agrapart Avizoise Grand Cru,198,Champagne,"Pays

                                                            France                                                    


Région

                                                            Champagne, Côte des Blancs et Côte de Sézanne                                                    


Appellation d'origine

                                                            Champagne                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Classification

                                                            Grand cru                                                    


Cépage

                                                            Chardonnay 100 %                                                    


Degré d'alcool

                                                            12 %                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Champagne Agrapart et Fils                                                    


Agent promotionnel

                                                            Corporation Bella Vita                                                    


Code SAQ

                                                            14152515                                                    


Code CUP

                                                            04000141525154"
Agrapart Expérience Blanc de Blancs Grand Cru,447,Champagne,"Pays

                                                            France                                                    


Région

                                                            Champagne, Côte des Blancs et Côte de Sézanne                                                    


Appellation d'origine

                                                            Champagne                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Classification

                                                            Grand cru                                                    


Cépage

                                                            Chardonnay 100 %                                                    


Degré d'alcool

                                                            12 %                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Champagne Agrapart et Fils                                                    


Agent promotionnel

                                                            Corporation Bella Vita                                                    


Code SAQ

                                                            11820338                                                    


Code CUP

                                                            03557785119092"
Agrapart Vénus Grand Cru Brut,305.5,Champagne,"Pays

                                                            France                                                    


Région

                                                            Champagne, Côte des Blancs et Côte de Sézanne                                                    


Appellation d'origine

                                                            Champagne                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Classification

                                                            Grand cru                                                    


Cépage

                                                            Chardonnay 100 %                                                    


Degré d'alcool

                                                            12 %                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Champagne Agrapart et Fils                                                    


Agent promotionnel

                                                            Corporation Bella Vita                                                    


Code SAQ

                                                            14152523                                                    


Code CUP

                                                            04000141525239"
Agricolo Blagheur,55,Dry gin,"Pays

                                                            Italie                                                    


Degré d'alcool

                                                            47 %                                                    


Couleur

                                                            Jaune                                                    


Format

                                                            700 ml                                                    


Producteur

                                                            Antica Distilleria Quaglia SrL                                                    


Agent promotionnel

                                                            L'Enoteca di Moreno de Marchi                                                    


Code SAQ

                                                            14161930                                                    


Code CUP

                                                            00818080003022"
Agricolo Gadan,55,Dry gin,"Pays

                                                            Italie                                                    


Degré d'alcool

                                                            47 %                                                    


Couleur

                                                            Rosé                                                    


Format

                                                            700 ml                                                    


Producteur

                                                            Antica Distilleria Quaglia SrL                                                    


Agent promotionnel

                                                            L'Enoteca di Moreno de Marchi                                                    


Code SAQ

                                                            14178352                                                    


Code CUP

                                                            00818080003046"
Alain Chavy Puligny Montrachet Les Char,93.5,Vin blanc,"Pays

                                                            France                                                    


Région

                                                            Bourgogne, Côte de Beaune                                                    


Appellation d'origine

                                                            Puligny-Montrachet Premier Cru                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Cépage

                                                            Chardonnay 100 %                                                    


Degré d'alcool

                                                            12,8 %                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Domaine Alain Chavy                                                    


Agent promotionnel

                                                            Valmonti Inc.                                                    


Code SAQ

                                                            12482271                                                    


Code CUP

                                                            03559030000025"
Albert Bichot Bourgogne Aligoté,15.95,Vin blanc,"Pays

                                                            France                                                    


Région

                                                            Bourgogne, Bourgogne                                                    


Appellation d'origine

                                                            Bourgogne Aligoté                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Cépage

                                                            Aligoté                                                    


Degré d'alcool

                                                            11,8 %                                                    


Taux de sucre

                                                            <1,2 g/L                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Albert Bichot                                                    


Agent promotionnel

                                                            Elixirs, Vins et Spiritueux Inc.                                                    


Code SAQ

                                                            130724                                                    


Code CUP

                                                            00087113111205"
Albert Bichot Chambolle Musigny Premier Cru Les Sentiers,133,Vin rouge,"Pays

                                                            France                                                    


Région

                                                            Bourgogne, Côte de Nuits                                                    


Appellation d'origine

                                                            Chambolle-Musigny Premier Cru                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Cépage

                                                            Pinot noir 100 %                                                    


Degré d'alcool

                                                            13 %                                                    


Couleur

                                                            Rouge                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Maison Albert Bichot                                                    


Agent promotionnel

                                                            Elixirs, Vins et Spiritueux Inc.                                                    


Code SAQ

                                                            14207918                                                    


Code CUP

                                                            04000142079182"
Albert Bichot Chardonnay Vieilles Vignes,17.95,Vin blanc,"Pays

                                                            France                                                    


Région

                                                            Bourgogne, Bourgogne                                                    


Appellation d'origine

                                                            Bourgogne                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Cépage

                                                            Chardonnay                                                    


Degré d'alcool

                                                            12,5 %                                                    


Taux de sucre

                                                            2 g/L                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Albert Bichot                                                    


Agent promotionnel

                                                            Elixirs, Vins et Spiritueux Inc.                                                    


Code SAQ

                                                            10845357                                                    


Code CUP

                                                            00087113111359"
Albert Bichot Chassagne-Montrachet,90.5,Vin blanc,"Pays

                                                            France                                                    


Région

                                                            Bourgogne, Côte de Beaune                                                    


Appellation d'origine

                                                            Chassagne-Montrachet                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Cépage

                                                            Chardonnay 100 %                                                    


Degré d'alcool

                                                            13 %                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            Maison Albert Bichot                                                    


Agent promotionnel

                                                            Elixirs, Vins et Spiritueux Inc.                                                    


Code SAQ

                                                            12879219                                                    


Code CUP

                                                            00087113112219"
Albert Grivault Meursault Premier Cru Clos des Perrières,170.25,Vin blanc,"Pays

                                                            France                                                    


Région

                                                            Bourgogne, Côte de Beaune                                                    


Appellation d'origine

                                                            Meursault Premier Cru                                                    


Désignation réglementée

                                                            (AOC/AOP) Appellation origine controlée/protégée                                                    


Cépage

                                                            Chardonnay 100 %                                                    


Degré d'alcool

                                                            13,5 %                                                    


Couleur

                                                            Blanc                                                    


Format

                                                            750 ml                                                    


Producteur

                                                            SC Domaine Albert Grivault                                                    


Code SAQ

                                                            13949119                                                    


Code CUP

                                                            04000139491195"
